Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11/19/2014,AXISBANK,EQ,474,475.9,475.9,467,471,470.2,470.45,2667750,1.25504E+14,,,
11/20/2014,AXISBANK,EQ,470.2,471,471.7,462.9,467.5,466.65,465.48,2510781,1.16872E+14,,,
11/21/2014,AXISBANK,EQ,466.65,467.5,482.5,466.1,476.2,476.95,477.6,4741296,2.26446E+14,,,
11/24/2014,AXISBANK,EQ,476.95,479,482.55,475.3,478.45,478.15,479.13,3562884,1.7071E+14,,,
11/25/2014,AXISBANK,EQ,478.15,479,479.9,466.65,470,470.75,471.28,3474162,1.63729E+14,,,
11/26/2014,AXISBANK,EQ,470.75,470.9,473.75,464,470.6,470.3,468.73,3726653,1.74678E+14,,,
11/27/2014,AXISBANK,EQ,470.3,470.25,472.5,462.65,468,469.4,467.92,7283496,3.40813E+14,,,
11/28/2014,AXISBANK,EQ,469.4,471.8,485.8,471.05,482.95,481.2,482.02,5227699,2.51988E+14,,,
12/1/2014,AXISBANK,EQ,481.2,484.4,493.2,481.15,489.6,489.15,489.25,4634567,2.26748E+14,,,
12/2/2014,AXISBANK,EQ,489.15,489,494.8,484.5,492.45,493,489.41,4191689,2.05147E+14,,,
12/3/2014,AXISBANK,EQ,493,494,500.7,490.65,498.15,499.05,497.81,3424250,1.70463E+14,,,
12/4/2014,AXISBANK,EQ,499.05,501.4,502.7,491.2,499.55,499.95,496.69,2709507,1.34579E+14,,,
12/5/2014,AXISBANK,EQ,499.95,502,506.4,496.5,496.5,498.55,501.71,2798293,1.40394E+14,,,
12/8/2014,AXISBANK,EQ,498.55,499.95,503,495.5,496.05,496.6,498.68,2150646,1.07249E+14,,,
12/9/2014,AXISBANK,EQ,496.6,495.95,496,487,491,488.8,490.74,2722580,1.33607E+14,,,
12/10/2014,AXISBANK,EQ,488.8,488.55,496.15,486.5,489.25,489.25,491.53,3317262,1.63055E+14,,,
12/11/2014,AXISBANK,EQ,489.25,488.8,494.7,480.1,490.5,490.5,487.46,3583840,1.74698E+14,,,
12/12/2014,AXISBANK,EQ,490.5,491.2,493.55,481.55,482.55,483.4,487.19,2915819,1.42057E+14,,,
12/15/2014,AXISBANK,EQ,483.4,480,487.4,475.3,477.5,476.75,481.03,2929634,1.40925E+14,,,
