Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/9/2017,AXISBANK,EQ,455.2,456.9,459.35,451.55,453.2,452.75,454.96,2690456,1.22405E+14,,,
1/10/2017,AXISBANK,EQ,452.75,455.5,456.05,424.4,447.8,447.35,446.88,9436151,4.21685E+14,,,
1/11/2017,AXISBANK,EQ,447.35,451.85,457.55,448.2,452.5,453.6,452.99,5678047,2.57211E+14,,,
1/12/2017,AXISBANK,EQ,453.6,454.2,461.4,452.6,455.8,455.2,456.91,5106342,2.33315E+14,,,
1/13/2017,AXISBANK,EQ,455.2,457,475.2,455.2,472,472.8,469.33,12693510,5.95741E+14,,,
1/16/2017,AXISBANK,EQ,472.8,472.5,480.5,468.3,477.2,477.25,476.54,7430300,3.54082E+14,,,
1/17/2017,AXISBANK,EQ,477.25,477.3,488.2,476.95,485.6,487.2,483.42,11331156,5.47766E+14,,,
1/18/2017,AXISBANK,EQ,487.2,487.15,491.7,483.25,487,488.5,487.69,8789347,4.28651E+14,,,
1/19/2017,AXISBANK,EQ,488.5,486.7,487.9,479.3,480.7,483.8,483.72,7688347,3.71904E+14,,,
1/20/2017,AXISBANK,EQ,483.8,458,461.4,448,448.7,450.75,455,30189779,1.37364E+15,,,
1/23/2017,AXISBANK,EQ,450.75,445.25,448.95,441.1,445,445,444.75,16502895,7.33974E+14,,,
1/24/2017,AXISBANK,EQ,445,447.8,452.55,445.3,452,451.25,449,7103963,3.18965E+14,,,
1/25/2017,AXISBANK,EQ,451.25,452,465.1,452,464.4,463.55,460.92,14328065,6.60412E+14,,,
1/27/2017,AXISBANK,EQ,463.55,465.25,478.85,465.25,472,472.85,474.24,8821164,4.18337E+14,,,
1/30/2017,AXISBANK,EQ,472.85,472,476.6,470.85,471.45,471.9,473.44,4525720,2.14265E+14,,,
1/31/2017,AXISBANK,EQ,471.9,472,472,464.3,466,466,466.74,10629001,4.96102E+14,,,
2/1/2017,AXISBANK,EQ,466,467.75,479.9,460,475.8,475.65,471.68,8340303,3.93394E+14,,,
2/2/2017,AXISBANK,EQ,475.65,476.25,486,473.35,483,482.55,482.87,7557596,3.64931E+14,,,
2/3/2017,AXISBANK,EQ,482.55,483.7,492.5,480.15,489.9,490.7,487.58,7134563,3.47868E+14,,,
