Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
3/25/2004,UTIBANK,EQ,126.9,127.65,133,127.65,133,130.4,130.03,104288,1.35601E+12,,,
3/26/2004,UTIBANK,EQ,130.4,133.5,139.2,131.65,137,137.8,135.41,213474,2.8906E+12,,,
3/29/2004,UTIBANK,EQ,137.8,138.85,146.7,138.85,144.3,143.7,143.72,364459,5.23803E+12,,,
3/30/2004,UTIBANK,EQ,143.7,145,147.8,141,142.5,142.35,145.4,180568,2.62545E+12,,,
3/31/2004,UTIBANK,EQ,142.35,143.4,153.2,141.6,148.35,148.65,149.04,669338,9.97595E+12,,,
4/1/2004,UTIBANK,EQ,148.65,149,158,148.5,157.6,156.95,154.41,653946,1.00977E+13,,,
4/2/2004,UTIBANK,EQ,156.95,158,167.4,157,166.2,165.95,162.83,903556,1.47126E+13,,,
4/5/2004,UTIBANK,EQ,165.95,167,170.55,165.35,169,166.95,168.59,473237,7.97845E+12,,,
4/6/2004,UTIBANK,EQ,166.95,169,170,161,163,164,164.1,436875,7.16917E+12,,,
4/7/2004,UTIBANK,EQ,164,165,165.75,161.25,161.35,162.15,162.74,152076,2.47489E+12,,,
4/8/2004,UTIBANK,EQ,162.15,162,164,156.05,158,158.55,159.19,273597,4.3553E+12,,,
4/12/2004,UTIBANK,EQ,158.55,158,161.8,156,159.6,159.15,159.64,184586,2.94669E+12,,,
4/13/2004,UTIBANK,EQ,159.15,156,167.4,156,162.5,163.75,161.99,184031,2.98119E+12,,,
4/15/2004,UTIBANK,EQ,163.75,164.1,166.65,159,160.75,160.95,162.89,203253,3.31088E+12,,,
4/16/2004,UTIBANK,EQ,160.95,160,165.9,160,164.5,164.5,162.96,205065,3.34175E+12,,,
4/17/2004,UTIBANK,EQ,164.5,166,166,157.1,162.2,162.3,162.31,62132,1.00848E+12,,,
4/19/2004,UTIBANK,EQ,162.3,163,164.9,158.4,162.65,163,162.74,690067,1.12304E+13,,,
