Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
5/5/2006,UTIBANK,EQ,368,366,371.75,355,361,362.35,364.18,225375,8.20782E+12,,,
5/8/2006,UTIBANK,EQ,362.35,364.8,368,355,358,358,359.71,393258,1.4146E+13,,,
5/9/2006,UTIBANK,EQ,358,358.5,370,355.1,365.75,367.05,364.29,548651,1.99867E+13,,,
5/10/2006,UTIBANK,EQ,367.05,365,380,365,373.5,374.25,374.8,850273,3.18686E+13,,,
5/11/2006,UTIBANK,EQ,374.25,375.75,377.9,367.1,370,372.65,371.08,232497,8.62745E+12,,,
5/12/2006,UTIBANK,EQ,372.65,365,373,360,360.55,361.15,367.04,182241,6.68895E+12,,,
5/15/2006,UTIBANK,EQ,361.15,362.95,362.95,345,346,345.95,350.05,129265,4.5249E+12,,,
5/16/2006,UTIBANK,EQ,345.95,354,364.45,321.05,337,337.4,336.79,239176,8.0552E+12,,,
5/17/2006,UTIBANK,EQ,337.4,344,349.9,339.1,347,344,344.1,340350,1.17114E+13,,,
5/18/2006,UTIBANK,EQ,344,342,344.95,321,327.9,325.35,329.39,291218,9.59245E+12,,,
5/19/2006,UTIBANK,EQ,325.35,345,346,314,328,323.75,328.61,285703,9.38847E+12,,,
5/22/2006,UTIBANK,EQ,323.75,328.65,331,309,318,323.55,318.67,362580,1.15544E+13,,,
5/23/2006,UTIBANK,EQ,323.55,323.55,323.55,303,314.1,315.3,312.87,555977,1.73947E+13,,,
5/24/2006,UTIBANK,EQ,315.3,324.7,336,305,306,307.85,316.46,752288,2.38073E+13,,,
5/25/2006,UTIBANK,EQ,307.85,305.25,310.9,283,303,296.45,300.75,905342,2.72282E+13,,,
5/26/2006,UTIBANK,EQ,296.45,309,314,301.4,302,302.7,307.15,633662,1.94632E+13,,,
5/29/2006,UTIBANK,EQ,302.7,306,313,303.5,311,309,306.68,210279,6.44882E+12,,,
5/30/2006,UTIBANK,EQ,309,311,311,297,300.2,301.9,305.84,112395,3.43744E+12,,,
5/31/2006,UTIBANK,EQ,301.9,298,299,281,285.3,285.25,285.75,279050,7.97377E+12,,,
6/1/2006,UTIBANK,EQ,285.25,298.25,298.25,280,285,284.9,285.79,325580,9.30468E+12,,,
6/2/2006,UTIBANK,EQ,284.9,286,313,280,307,308.85,296.12,506815,1.50079E+13,,,
6/5/2006,UTIBANK,EQ,308.85,310,312.4,304,305,308.05,309.02,517306,1.59856E+13,,,
6/6/2006,UTIBANK,EQ,308.05,299,303.25,291.1,296,296.15,297.92,203125,6.05151E+12,,,
6/7/2006,UTIBANK,EQ,296.15,293,301.9,280,290,291.2,296.5,515945,1.52975E+13,,,
6/8/2006,UTIBANK,EQ,291.2,280.5,284.8,248.5,257,255.45,263.92,258578,6.82428E+12,,,
6/9/2006,UTIBANK,EQ,255.45,252,270,237,260.5,260.7,263.94,601227,1.58688E+13,,,
6/12/2006,UTIBANK,EQ,260.7,268,268,240,257.1,256.75,259.13,264456,6.85298E+12,,,
6/13/2006,UTIBANK,EQ,256.75,249,254,240,242,243.15,242.39,198872,4.82044E+12,,,
6/14/2006,UTIBANK,EQ,243.15,244,254.95,220.15,250,243.1,242.34,447098,1.0835E+13,,,
