Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2/13/2002,UTIBANK,EQ,36.1,38.9,38.9,33.6,36.25,36.05,36.33,107101,3.89049E+11,,,
2/14/2002,UTIBANK,EQ,36.05,37,37.8,36.05,37.75,37.15,36.76,134984,4.9626E+11,,,
2/15/2002,UTIBANK,EQ,37.15,40,40,37,38.6,38.6,38.71,255062,9.87322E+11,,,
2/18/2002,UTIBANK,EQ,38.6,43.4,46.35,40.1,41.1,41.55,43.15,590614,2.54825E+12,,,
2/19/2002,UTIBANK,EQ,41.55,45.5,45.5,38.1,38.5,38.5,39.77,288959,1.1491E+12,,,
2/20/2002,UTIBANK,EQ,38.5,39,40,38.1,39.2,39.55,39.12,194063,7.59159E+11,,,
2/21/2002,UTIBANK,EQ,39.55,40,44,39.3,42.8,42.7,42.29,637280,2.69482E+12,,,
2/22/2002,UTIBANK,EQ,42.7,44,44.35,42,44.25,43.85,43.49,512356,2.22842E+12,,,
2/25/2002,UTIBANK,EQ,43.85,47,47,42.2,44.35,44.55,44.14,353458,1.5603E+12,,,
2/26/2002,UTIBANK,EQ,44.55,45.4,45.85,41.75,42.3,42.15,43.24,207816,8.98674E+11,,,
2/27/2002,UTIBANK,EQ,42.15,42.65,43.3,40,40.4,40.4,41.01,171139,7.01891E+11,,,
2/28/2002,UTIBANK,EQ,40.4,40.75,43,36.3,37.5,37.4,39.66,420607,1.6683E+12,,,
3/1/2002,UTIBANK,EQ,37.4,37,40.5,37,40.5,39.9,39.19,218995,8.58319E+11,,,
3/4/2002,UTIBANK,EQ,39.9,41.9,41.95,39.3,39.95,39.75,40.43,110730,4.47668E+11,,,
3/5/2002,UTIBANK,EQ,39.75,39.1,40.9,39.1,40.3,40.15,40.04,92018,3.68476E+11,,,
3/6/2002,UTIBANK,EQ,40.15,40.9,42.2,39.6,40.65,40.2,40.78,201720,8.22596E+11,,,
3/7/2002,UTIBANK,EQ,40.2,41.95,41.95,40.35,40.9,40.9,41.01,91176,3.7392E+11,,,
3/8/2002,UTIBANK,EQ,40.9,40.55,41,40,40.5,40.45,40.38,87852,3.54783E+11,,,
