Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
9/24/2012,AXISBANK,EQ,1124.65,1120.25,1174.5,1120.25,1130.5,1132.65,1149.43,4289343,4.93031E+14,,,
9/25/2012,AXISBANK,EQ,1132.65,1144,1160.8,1088.05,1104.5,1101.95,1107.37,5739237,6.35548E+14,,,
9/26/2012,AXISBANK,EQ,1101.95,1097.45,1136,1085.25,1125.7,1126.8,1113.77,3724780,4.14854E+14,,,
9/27/2012,AXISBANK,EQ,1126.8,1134,1143.35,1120.1,1133.4,1128.8,1130.95,2323129,2.62735E+14,,,
9/28/2012,AXISBANK,EQ,1128.8,1142,1150.9,1130.65,1135,1136,1140.69,1748800,1.99484E+14,,,
10/1/2012,AXISBANK,EQ,1136,1136,1138.3,1121.15,1133.8,1130.7,1129.19,1280154,1.44554E+14,,,
10/3/2012,AXISBANK,EQ,1130.7,1130.7,1135.85,1108.55,1113,1113.4,1117.33,2489130,2.78117E+14,,,
10/4/2012,AXISBANK,EQ,1113.4,1123,1151.85,1123,1141.35,1140.8,1143.19,2439948,2.78932E+14,,,
10/5/2012,AXISBANK,EQ,1140.8,1155.75,1161.9,1008.5,1143.1,1142.95,1135.25,2657566,3.017E+14,,,
10/8/2012,AXISBANK,EQ,1142.95,1148,1148,1121,1131,1130.95,1129.87,2390694,2.70118E+14,,,
10/9/2012,AXISBANK,EQ,1130.95,1146,1152,1122.1,1127.6,1128.4,1133.54,1685298,1.91035E+14,,,
10/10/2012,AXISBANK,EQ,1128.4,1119.9,1124,1102.1,1105.85,1106.8,1112,1638968,1.82253E+14,,,
10/11/2012,AXISBANK,EQ,1106.8,1110,1140,1083.85,1139.05,1133.7,1115.36,2441870,2.72356E+14,,,
10/12/2012,AXISBANK,EQ,1133.7,1135,1143.65,1115.2,1117.55,1119.7,1128.51,1938489,2.1876E+14,,,
10/15/2012,AXISBANK,EQ,1119.7,1125,1126,1108.6,1119,1119.1,1118.55,1834140,2.05158E+14,,,
10/16/2012,AXISBANK,EQ,1119.1,1133.5,1169.7,1133.5,1142,1145.9,1152.53,4501129,5.18769E+14,,,
10/17/2012,AXISBANK,EQ,1145.9,1155,1159.5,1125.2,1154.05,1153.95,1144.23,2644758,3.02622E+14,,,
10/18/2012,AXISBANK,EQ,1153.95,1157.25,1209,1148.05,1206.9,1202.35,1183.12,4139075,4.897E+14,,,
10/19/2012,AXISBANK,EQ,1202.35,1200,1210.8,1186,1202,1202.25,1198.45,2690029,3.22388E+14,,,
10/22/2012,AXISBANK,EQ,1202.25,1194,1228,1189.55,1220,1223.75,1213.72,2275045,2.76126E+14,,,
10/23/2012,AXISBANK,EQ,1223.75,1219,1228.9,1213.5,1224,1222.25,1220.72,1380855,1.68564E+14,,,
10/25/2012,AXISBANK,EQ,1222.25,1219.9,1243,1218,1234,1238.05,1235.57,1857686,2.2953E+14,,,
10/26/2012,AXISBANK,EQ,1238.05,1228.8,1246.15,1222.4,1233.8,1231.65,1234.4,1738537,2.14605E+14,,,
10/29/2012,AXISBANK,EQ,1231.65,1232,1239.7,1212.75,1221.3,1221.75,1226.54,1149428,1.40982E+14,,,
10/30/2012,AXISBANK,EQ,1221.75,1223,1238.9,1171.75,1182.3,1184.7,1197.69,2739266,3.28081E+14,,,
10/31/2012,AXISBANK,EQ,1184.7,1184.45,1186.9,1165.55,1181.95,1182.6,1177.1,1780532,2.09586E+14,,,
11/1/2012,AXISBANK,EQ,1182.6,1183,1209.75,1177,1207.05,1207.15,1198.18,1354503,1.62294E+14,,,
11/2/2012,AXISBANK,EQ,1207.15,1227.7,1228,1212.5,1215,1215.5,1220.31,1524736,1.86065E+14,,,
11/5/2012,AXISBANK,EQ,1215.5,1214.4,1218.75,1200.5,1215.65,1214.25,1210.91,940076,1.13835E+14,,,
11/6/2012,AXISBANK,EQ,1214.25,1212,1224.45,1205.35,1219.7,1220.15,1216.43,1118632,1.36073E+14,,,
11/7/2012,AXISBANK,EQ,1220.15,1215,1243.7,1215,1229.95,1232.05,1233.79,1846176,2.2778E+14,,,
11/8/2012,AXISBANK,EQ,1232.05,1216,1229.9,1211.45,1220.05,1222.5,1221.02,1257461,1.53538E+14,,,
11/9/2012,AXISBANK,EQ,1222.5,1222.5,1232.95,1207.8,1217.5,1215.1,1219.41,981211,1.1965E+14,,,
11/12/2012,AXISBANK,EQ,1215.1,1219,1234.9,1215.1,1227,1226.45,1225.36,971454,1.19038E+14,,,
11/13/2012,AXISBANK,EQ,1226.45,1228,1231.7,1216.05,1220.4,1222.6,1225.05,263301,3.22558E+13,,,
11/15/2012,AXISBANK,EQ,1222.6,1214,1240,1211,1240,1232.25,1223.65,1973882,2.41533E+14,,,
11/16/2012,AXISBANK,EQ,1232.25,1239.2,1243.65,1221.9,1228.05,1226.25,1229.63,1981883,2.43699E+14,,,
11/19/2012,AXISBANK,EQ,1226.25,1226.5,1230,1202.8,1215.5,1214.3,1213.44,1287162,1.5619E+14,,,
